utDate fileName skyMean
20140702 bokrm.ut20140702.0071 803.4
20140702 bokrm.ut20140702.0073 810.5
20140702 bokrm.ut20140702.0075 859.1
20140702 bokrm.ut20140702.0077 882.5
20140702 bokrm.ut20140702.0079 911.4
20140702 bokrm.ut20140702.0081 895.3
20140702 bokrm.ut20140702.0083 899.5
20140702 bokrm.ut20140702.0085 905.7
20140702 bokrm.ut20140702.0087 906.5
20140702 bokrm.ut20140702.0089 936.0
20140702 bokrm.ut20140702.0091 965.0
20140718 bokrm.ut20140718.0022 837.8
20140718 bokrm.ut20140718.0024 860.4
20140718 bokrm.ut20140718.0026 872.5
20140718 bokrm.ut20140718.0028 877.1
20140718 bokrm.ut20140718.0030 886.8
20140718 bokrm.ut20140718.0032 905.8
20140718 bokrm.ut20140718.0034 943.5
20140718 bokrm.ut20140718.0036 927.8
20140718 bokrm.ut20140718.0038 954.1
20140718 bokrm.ut20140718.0040 976.5
20140718 bokrm.ut20140718.0042 1003.1
20140718 bokrm.ut20140718.0044 992.0
20140718 bokrm.ut20140718.0050 1327.9
